"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cameroon","CMR","Law prohibits or invalidates child or early marriage (1=yes; 0=no)","SG.LAW.CHMR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Cameroon","CMR","Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)","SG.JOB.NOPN.EQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","",
"Cameroon","CMR","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4","","","","","","","5.6","5.6","5.6","5.6","5.6","8.9","8.9","8.9","8.9","8.9","13.9","13.9","13.9","13.9","13.9","13.9","31.1","31.1","31.1","31.1",
"Cameroon","CMR","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)","SG.DMK.ALLD.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","","","","","","","23.7","","","","","",
"Cameroon","CMR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","3.08179998397827","3.35994005203247","","","","","","","","","","2.97900009155273","3.50092005729675","3.24389004707336","","2.84750008583069","2.92817997932434","2.71604990959167","2.65223002433777","3.28999996185303","3.22292995452881","2.75116991996765","","","","","","","","1.9332799911499","2.61048007011414","","3.30054998397827","3.33145999908447","3.1230800151825","2.95489001274109","3.36702990531921","2.96932005882263","3.47274994850159","3.31309008598328","3.06405997276306","2.96862006187439","3.02990007400513","","","",
"Cameroon","CMR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6836996078491","15.7339401245117","","21.4420204162598","20.8471202850342","21.3776092529297","20.312650680542","21.5682201385498","15.5886402130127","19.7797908782959","18.7538890838623","14.8677701950073","15.1762199401855","13.8249502182007","","","",
"Cameroon","CMR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","18.471170425415","20.3807201385498","","","","","","","","","","32.0073890686035","36.6684188842773","25.3606300354004","","27.3924503326416","27.3805999755859","25.8742008209229","32.4711799621582","36.5036087036133","29.5430107116699","15.6134004592896","","","","","","","","","","","","10.3624000549316","12.6432504653931","10.4981098175049","10.6148700714111","8.85136985778809","8.62576007843018","9.04275035858154","15.0936803817749","7.7697901725769","10.2072401046753","","","",
"Cameroon","CMR","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6594619750977","71.677001953125","47.9684906005859","51.5918312072754","34.6947708129883","34.4049606323242","27.998929977417","39.8455390930176","18.4551792144775","21.3104190826416","","","",
"Cameroon","CMR","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","30.7863101959229","33.6882705688477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9920997619629","50.8558387756348","52.3956985473633","54.0865097045898","53.8921585083008","52.7390098571777","48.8697891235352","52.5531387329102","","","","",
"Cameroon","CMR","Government expenditure per student, secondary (% of GDP per capita)","SE.XPD.SECO.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5352096557617","40.0232810974121","34.4446716308594","27.7542896270752","29.5062694549561","","20.0124492645264","19.6995792388916","","","","",
"Cameroon","CMR","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","40.9106597900391","36.5344696044922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0643310546875","38.6460494995117","36.989429473877","32.5544509887695","34.1968803405762","34.1618003845215","32.7005996704102","36.192699432373","33.8792495727539","","","",
"Cameroon","CMR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.66658020019531","7.08528995513916","7.61296987533569","5.88425016403198","7.08904981613159","6.63896989822388","5.88078022003174","6.04014015197754","","","","",
"Cameroon","CMR","All education staff compensation, total (% of total expenditure in public institutions)","SE.XPD.MTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.6978378295898","75.6476821899414","80.1684417724609","","","75.7312622070313","","","",
"Cameroon","CMR","All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)","SE.XPD.MTER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.0148315429688","94.3806915283203","64.3004913330078","","79.2559814453125","53.2184104919434","","","",
"Cameroon","CMR","All education staff compensation, secondary (% of total expenditure in secondary public institutions)","SE.XPD.MSEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8447570800781","81.6682434082031","82.3024291992188","91.9046630859375","94.5164489746094","","","","",
"Cameroon","CMR","All education staff compensation, primary (% of total expenditure in primary public institutions)","SE.XPD.MPRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2361068725586","62.1455612182617","80.2456207275391","85.9078369140625","80.3956680297852","78.8694305419922","","","",
"Cameroon","CMR","Current education expenditure, total (% of total expenditure in public institutions)","SE.XPD.CTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.9149017333984","81.6774673461914","86.642936706543","92.245002746582","","86.3893127441406","","","",
"Cameroon","CMR","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","SE.XPD.CTER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.4339904785156","100","69.7298278808594","86.3168716430664","100","63.2278709411621","","","",
"Cameroon","CMR","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","SE.XPD.CSEC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0419464111328","87.3091735839844","87.8115921020508","94.671501159668","97.0931930541992","","","","",
"Cameroon","CMR","Current education expenditure, primary (% of total expenditure in primary public institutions)","SE.XPD.CPRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.4054718017578","68.5404205322266","87.5420379638672","91.2193069458008","85.2550888061523","88.5636672973633","","","",
"Cameroon","CMR","Tertiary education, academic staff (% female)","SE.TER.TCHR.FE.ZS","","","","","","","","","","","","9.54545021057129","9.35251998901367","13.4146299362183","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3198900222778","","","","","","","17.8664608001709","","19.0082607269287","19.3755702972412","20.9130802154541","20.9237804412842","20.0896892547607","","",
"Cameroon","CMR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118.1","137.5","168.4","197.1","207.6","281.7","331.7","366.7","342.8","371.6","401.4","450.8","457.1","526.8","","","",
"Cameroon","CMR","Industrial design applications, resident, by count","IP.IDS.RSCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Industrial design applications, nonresident, by count","IP.IDS.NRCT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Public private partnerships investment in water and sanitation (current US$)","IE.PPN.WATR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Public private partnerships investment in transport (current US$)","IE.PPN.TRAN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30800000","","","","","90000000","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Public private partnerships investment in telecom (current US$)","IE.PPN.TELE.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Public private partnerships investment in energy (current US$)","IE.PPN.ENGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70300000","21500000","","","","440000000","","","","","","","","","","",
"Cameroon","CMR","Investment in water and sanitation with private participation (current US$)","IE.PPI.WATR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Investment in transport with private participation (current US$)","IE.PPI.TRAN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30800000","","","","","90000000","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Investment in telecoms with private participation (current US$)","IE.PPI.TELE.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12700000","95000000","54400000","66000000","89000000","61000000","29000000","63000000","149400000","211000000","278000000","233000000","252200000","263300000","75800000","467000000","","",
"Cameroon","CMR","Investment in ICT with private participation (current US$)","IE.PPI.ICTI.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Investment in energy with private participation (current US$)","IE.PPI.ENGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70300000","21500000","","","","440000000","","","126000000","342000000","","1750000000","","","","",
"Cameroon","CMR","Procedures to build a warehouse (number)","IC.WRH.PROC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","12","12","12","12","14","15","15","15",
"Cameroon","CMR","Time required to build a warehouse (days)","IC.WRH.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199","199","184","184","227","189","189","189","158","151","150","135",
"Cameroon","CMR","Total tax rate (% of commercial profits)","IC.TAX.TOTL.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6","50.8","50.8","50.4","48.8","48.8","48.8","48.8","48.8","48.8","48.8","57.7",
"Cameroon","CMR","Profit tax (% of commercial profits)","IC.TAX.PRFT.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9","30","30","38.9",
"Cameroon","CMR","Tax payments (number)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","45","44","44","44","44","44","44","44","44",
"Cameroon","CMR","Other taxes payable by businesses (% of commercial profits)","IC.TAX.OTHR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5",
"Cameroon","CMR","Number of visits or required meetings with tax officials","IC.TAX.METG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","4.4","","","","","","","3.6",
"Cameroon","CMR","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3","18.3","18.3","18.3",
"Cameroon","CMR","Firms expected to give gifts in meetings with tax officials (% of firms)","IC.TAX.GIFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.4","","","30.8","","","","","","","20.4",
"Cameroon","CMR","Time to prepare and pay taxes (hours)","IC.TAX.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","654","654","654","654","654","654","654","654","630","630","630","630",
"Cameroon","CMR","Start-up procedures to register a business, male (number)","IC.REG.PROC.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","11","10","6","5","5","5","5","5","5",
"Cameroon","CMR","Start-up procedures to register a business, female (number)","IC.REG.PROC.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","12","11","7","6","6","6","6","6","6",
"Cameroon","CMR","Start-up procedures to register a business (number)","IC.REG.PROC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","11","12","11","7","6","6","6","6","6","6",
