Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","66.63","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","104.51","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","167.821","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","144.0423273518","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","150.259","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","241.3703754001","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2016","2016","23013","Consumer Prices, Food Indices (2010 = 100)","7007","July","","2144.832","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2007","2007","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","53.22","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","66.724","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","67.865","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","67.247","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","113.409","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","165.835","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","143.9237556498","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","156.29","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","268.993","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2016","2016","23013","Consumer Prices, Food Indices (2010 = 100)","7008","August","","2553.91","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2007","2007","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","55.645","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","68.67","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","68.477","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","67.197","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","113.979","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","165.97","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","147.4187763221","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","145.819","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7009","September","","318.275","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2007","2007","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","61.415","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","67.444","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","72.682","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","70.865","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","129.633","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","151.014","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7010","October","","156.249770878","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
